Location ID,Location,Value
IA-037,Chickasaw County,49.2
IA-039,Clarke County,54
IA-041,Clay County,50.6
IA-043,Clayton County,50.5
IA-045,Clinton County,53.7
IA-047,Crawford County,52.4
IA-049,Dallas County,53.3
IA-051,Davis County,54.1
IA-053,Decatur County,54.4
IA-055,Delaware County,50.6
IA-057,Des Moines County,54.4
IA-059,Dickinson County,49.6
IA-061,Dubuque County,51.1
IA-063,Emmet County,49.2
IA-065,Fayette County,49.4
IA-067,Floyd County,50
IA-069,Franklin County,50.6
IA-071,Fremont County,55.3
IA-073,Greene County,52.4
IA-075,Grundy County,51.2
IA-077,Guthrie County,52.9
IA-079,Hamilton County,51.1
IA-081,Hancock County,49.7
IA-083,Hardin County,51.3
IA-085,Harrison County,53.6
IA-087,Henry County,53.5
IA-089,Howard County,48.1
IA-091,Humboldt County,50.8
IA-093,Ida County,51.8
IA-095,Iowa County,52.7
IA-097,Jackson County,52.7
IA-099,Jasper County,53
IA-101,Jefferson County,52.9
IA-103,Johnson County,52.9
IA-105,Jones County,52.1
IA-107,Keokuk County,53.2
IA-109,Kossuth County,49.9
IA-111,Lee County,54.9
IA-113,Linn County,51.5
IA-115,Louisa County,53.7
IA-117,Lucas County,53.8
IA-119,Lyon County,50.2
IA-121,Madison County,53.4
IA-123,Mahaska County,53.4
IA-125,Marion County,53.4
IA-127,Marshall County,52.2
IA-129,Mills County,54.9
IA-131,Mitchell County,49
IA-133,Monona County,52.9
IA-135,Monroe County,53.9
IA-137,Montgomery County,54.3
IA-139,Muscatine County,53.1
IA-141,O'Brien County,50.5
IA-143,Osceola County,49.5
IA-145,Page County,55
IA-147,Palo Alto County,50.2
IA-149,Plymouth County,51.7
IA-151,Pocahontas County,50.8
IA-153,Polk County,53.4
IA-155,Pottawattamie County,54.1
IA-157,Poweshiek County,52.7
IA-159,Ringgold County,54.1
IA-161,Sac County,52
IA-163,Scott County,53.7
IA-165,Shelby County,52.8
IA-167,Sioux County,50.6
IA-169,Story County,52.5
IA-171,Tama County,51.6
IA-173,Taylor County,54.3
IA-175,Union County,53.3
IA-177,Van Buren County,53.7
IA-179,Wapello County,53.8
IA-181,Warren County,54
IA-183,Washington County,53.3
IA-185,Wayne County,53.8
IA-187,Webster County,51.3
IA-189,Winnebago County,49
IA-191,Winneshiek County,49.1
IA-193,Woodbury County,52.4
IA-195,Worth County,48.9
IA-197,Wright County,50.3
KS-001,Allen County,59.4
KS-003,Anderson County,58.8
KS-005,Atchison County,57
KS-007,Barber County,60.3
KS-009,Barton County,57.5
KS-011,Bourbon County,59.5
KS-013,Brown County,56.5
KS-015,Butler County,59.7
KS-017,Chase County,58.2
KS-019,Chautauqua County,60.6
KS-021,Cherokee County,61
KS-023,Cheyenne County,56
KS-025,Clark County,60.5
KS-027,Clay County,57.9
KS-029,Cloud County,57.3
KS-031,Coffey County,59
KS-033,Comanche County,60.5
KS-035,Cowley County,60.4
KS-037,Crawford County,60.1
KS-039,Decatur County,56.2
KS-041,Dickinson County,58.7
KS-043,Doniphan County,56.7
KS-045,Douglas County,58.4
KS-047,Edwards County,58.5
KS-049,Elk County,59.8
KS-051,Ellis County,57.5
KS-053,Ellsworth County,58.4
KS-055,Finney County,58.5
KS-057,Ford County,59
KS-059,Franklin County,58.8
KS-061,Geary County,58.2
KS-063,Gove County,57.4
KS-065,Graham County,57
KS-067,Grant County,59
KS-069,Gray County,58.8
KS-071,Greeley County,57
KS-073,Greenwood County,59.2
KS-075,Hamilton County,58.3
KS-077,Harper County,60.6
KS-079,Harvey County,59.7
KS-081,Haskell County,58.8
KS-083,Hodgeman County,58.9
KS-085,Jackson County,57
KS-087,Jefferson County,57.7
KS-089,Jewell County,56.4
